ref.tax.name	IMG.genome.ID	status	domain	phylum	rRNA.gene.copy.number	genome.size.Mbp
ref2540444825	2540341034	Permanent Draft	Bacteria	Firmicutes	5	2.174937
ref2540447080	2540341035	Permanent Draft	Bacteria	Proteobacteria	1	6.11634
ref2540495184	2540341046	Finished	Bacteria	Actinobacteria	2	3.063596
ref2540496960	2540341047	Finished	Bacteria	Firmicutes	3	2.969999
ref2540504837	2540341056	Finished	Bacteria	Proteobacteria	1	0.162589
ref2540521632	2540341063	Finished	Bacteria	Bacteroidetes	1	0.263431
ref2540524376	2540341065	Finished	Bacteria	Spirochaetes	2	1.140038
ref2540525310	2540341066	Finished	Bacteria	Bacteroidetes	4	2.993089
ref2540558234	2540341076	Finished	Bacteria	Firmicutes	6	3.649737
ref2540566665	2540341078	Finished	Bacteria	Proteobacteria	6	2.309073
ref2540568645	2540341080	Finished	Bacteria	Tenericutes	1	0.579504
ref2540569184	2540341081	Finished	Bacteria	Tenericutes	1	0.579796
ref2540573702	2540341085	Finished	Bacteria	Chloroflexi	2	5.144873
ref2540577894	2540341086	Finished	Bacteria	Nitrospirae	3	2.559538
ref2540610240	2540341095	Finished	Bacteria	Proteobacteria	5	5.512241
ref2540614027	2540341096	Finished	Bacteria	Proteobacteria	3	4.668296
ref2540624264	2540341099	Finished	Bacteria	candidate division NC10	1	2.752854
ref2540642752	2540341105	Finished	Archaea	Euryarchaeota	1	2.789773
ref2540645035	2540341106	Finished	Bacteria	Actinobacteria	3	5.575517
ref2540663163	2540341113	Finished	Bacteria	Firmicutes	2	2.761826
ref2540666767	2540341115	Finished	Archaea	Euryarchaeota	1	1.666795
ref2540673580	2540341118	Finished	Bacteria	Proteobacteria	4	6.42101
ref2540687145	2540341121	Finished	Bacteria	Chlamydiae	1	1.163362
ref2540689001	2540341122	Finished	Bacteria	Proteobacteria	5	3.602424
ref2540709532	2540341126	Finished	Bacteria	Proteobacteria	7	4.791958
ref2540711591	2540341127	Finished	Bacteria	Proteobacteria	1	3.773444
ref2540717190	2540341128	Finished	Bacteria	Bacteroidetes	2	3.914632
ref2540723579	2540341130	Finished	Bacteria	Proteobacteria	7	3.799539
ref2540727640	2540341131	Finished	Bacteria	Proteobacteria	3	1.268237
ref2540737419	2540341139	Finished	Bacteria	Proteobacteria	5	5.696307
ref2540746457	2540341143	Finished	Bacteria	Firmicutes	6	2.882234
ref2540749159	2540341144	Finished	Bacteria	Firmicutes	4	2.037254
ref2540752379	2540341145	Finished	Bacteria	Firmicutes	4	2.024476
ref2540761486	2540341148	Finished	Bacteria	Proteobacteria	1	0.538203
ref2540762088	2540341149	Finished	Bacteria	Proteobacteria	1	2.45861
ref2540766374	2540341151	Finished	Bacteria	Proteobacteria	1	0.159923
ref2540777150	2540341156	Finished	Bacteria	Tenericutes	3	0.998123
ref2540782755	2540341159	Finished	Bacteria	Firmicutes	5	3.427276
ref2540788755	2540341161	Finished	Bacteria	Proteobacteria	8	5.398151
ref2540806213	2540341165	Finished	Bacteria	Actinobacteria	2	3.44936
ref2540812904	2540341167	Finished	Bacteria	Proteobacteria	3	3.492535
ref2540819043	2540341169	Finished	Bacteria	Proteobacteria	7	5.241455
ref2540823987	2540341170	Finished	Bacteria	Proteobacteria	3	3.646098
ref2540828176	2540341171	Finished	Bacteria	Proteobacteria	1	1.295804
ref2540828903	2540341172	Finished	Bacteria	Proteobacteria	1	1.301823
ref2540839139	2540341176	Finished	Bacteria	Proteobacteria	4	6.731379
ref2540848360	2540341179	Finished	Bacteria	Tenericutes	2	0.859996
ref2540850813	2540341181	Finished	Bacteria	Proteobacteria	1	0.166163
ref2540853594	2540341183	Finished	Archaea	Euryarchaeota	3	1.998189
ref2540855928	2540341184	Finished	Bacteria	Actinobacteria	4	9.360653
ref2540901580	2540341199	Permanent Draft	Bacteria	Proteobacteria	3	4.029781
ref2540906552	2540341200	Permanent Draft	Bacteria	Proteobacteria	2	5.163333
ref2540922431	2540341205	Permanent Draft	Bacteria	Firmicutes	5	1.924318
ref2540924420	2540341206	Permanent Draft	Bacteria	Firmicutes	4	4.234989
ref2540961303	2540341223	Permanent Draft	Bacteria	Tenericutes	1	1.103092
ref2540962330	2540341224	Permanent Draft	Bacteria	Tenericutes	1	1.022566
ref2540977762	2540341229	Permanent Draft	Bacteria	Proteobacteria	3	5.134977
ref2540980968	2540341230	Permanent Draft	Bacteria	Bacteroidetes	3	4.182541
ref2540984728	2540341231	Draft	Bacteria	Proteobacteria	1	0.508352
ref2541000800	2540341237	Permanent Draft	Bacteria	Chloroflexi	3	4.475263
ref2541011299	2540341240	Permanent Draft	Bacteria	Actinobacteria	3	2.765822
ref2541012784	2540341241	Permanent Draft	Bacteria	Proteobacteria	2	1.742311
ref2541014154	2540341242	Permanent Draft	Bacteria	Verrucomicrobia	1	2.465519
ref2541017728	2540341243	Permanent Draft	Bacteria	Proteobacteria	4	3.987984
ref2541023294	2540341244	Permanent Draft	Bacteria	Proteobacteria	3	4.844648
ref2541025530	2540341245	Permanent Draft	Bacteria	Bacteroidetes	4	6.426282
ref2541030228	2540341246	Permanent Draft	Bacteria	Proteobacteria	3	2.452457
ref2541034746	2540341247	Permanent Draft	Bacteria	Proteobacteria	2	4.310573
ref2541036775	2540341248	Permanent Draft	Bacteria	Firmicutes	4	3.705946
ref2541041671	2540341249	Permanent Draft	Bacteria	Firmicutes	5	2.595994
ref2541183261	2541046933	Draft	Bacteria	Omnitrophica	1	0.757944
ref2541186549	2541046934	Permanent Draft	Bacteria	Proteobacteria	2	4.382767
ref2541248970	2541046951	Draft	Bacteria	Proteobacteria	2	5.635926
ref2541274507	2541046957	Permanent Draft	Bacteria	Synergistetes	5	3.223212
ref2541297513	2541046968	Permanent Draft	Bacteria	Bacteroidetes	2	2.528452
ref2541299556	2541046969	Permanent Draft	Bacteria	Synergistetes	2	2.105968
ref2541300722	2541046971	Permanent Draft	Bacteria	Firmicutes	10	4.671178
ref2541309829	2541046972	Permanent Draft	Bacteria	Proteobacteria	1	4.853881
ref2541313577	2541046974	Permanent Draft	Bacteria	Spirochaetes	2	2.527074
ref2541315908	2541046975	Permanent Draft	Bacteria	Spirochaetes	2	2.715791
ref2541317518	2541046976	Permanent Draft	Bacteria	Actinobacteria	1	2.065705
ref2541320215	2541046977	Permanent Draft	Bacteria	Actinobacteria	3	1.905561
ref2541322161	2541046978	Permanent Draft	Bacteria	Firmicutes	2	1.918533
ref2541322971	2541046979	Permanent Draft	Bacteria	Actinobacteria	2	2.261463
ref2541326849	2541046980	Permanent Draft	Bacteria	Bacteroidetes	1	2.740113
ref2541354580	2541046985	Permanent Draft	Bacteria	Bacteroidetes	2	3.985124
ref2541359606	2541046987	Permanent Draft	Bacteria	Spirochaetes	2	2.962533
ref2541363625	2541046989	Permanent Draft	Bacteria	Spirochaetes	2	2.818666
ref2541372512	2541046992	Permanent Draft	Bacteria	Bacteroidetes	1	4.028417
ref2541377695	2541046993	Permanent Draft	Bacteria	Actinobacteria	2	2.471628
ref2541380065	2541046994	Permanent Draft	Bacteria	Firmicutes	1	6.290824
ref2541391146	2541046997	Permanent Draft	Bacteria	Firmicutes	3	2.968286
ref2541399514	2541046998	Permanent Draft	Bacteria	Actinobacteria	5	9.339119
ref2541403976	2541047000	Permanent Draft	Bacteria	Actinobacteria	3	2.703797
ref2541408329	2541047001	Permanent Draft	Bacteria	Spirochaetes	2	2.731774
ref2541411457	2541047002	Permanent Draft	Bacteria	Spirochaetes	2	2.6781
ref2541436867	2541047009	Permanent Draft	Bacteria	Proteobacteria	4	2.949098
ref2541440813	2541047010	Permanent Draft	Bacteria	Firmicutes	3	2.058107
ref2541442627	2541047011	Permanent Draft	Bacteria	Actinobacteria	5	2.428384
ref2541445189	2541047013	Permanent Draft	Bacteria	Firmicutes	6	1.753968
ref2541449911	2541047015	Permanent Draft	Bacteria	Actinobacteria	2	2.361288
ref2541453028	2541047016	Permanent Draft	Bacteria	Actinobacteria	1	2.726475
ref2541457204	2541047017	Permanent Draft	Bacteria	Actinobacteria	5	7.820341
ref2541460573	2541047018	Permanent Draft	Bacteria	Actinobacteria	4	1.660282
ref2541464407	2541047019	Permanent Draft	Bacteria	Bacteroidetes	8	2.783006
ref2541466506	2541047020	Permanent Draft	Bacteria	Actinobacteria	2	3.164554
ref2541469925	2541047021	Permanent Draft	Bacteria	Actinobacteria	4	2.704051
ref2541470962	2541047022	Finished	Bacteria	Proteobacteria	1	2.657893
ref2541473400	2541047023	Finished	Bacteria	Actinobacteria	3	2.526138
ref2541485488	2541047026	Permanent Draft	Bacteria	Spirochaetes	1	4.457871
ref2541521410	2541047033	Permanent Draft	Bacteria	Spirochaetes	1	3.776198
ref2541546834	2541047039	Permanent Draft	Bacteria	Spirochaetes	3	4.103611
ref2541559500	2541047042	Permanent Draft	Bacteria	Spirochaetes	4	4.180037
ref2541562268	2541047043	Permanent Draft	Bacteria	Spirochaetes	1	4.436408
ref2541567054	2541047044	Permanent Draft	Bacteria	Spirochaetes	1	4.360155
ref2541573570	2541047046	Permanent Draft	Bacteria	Actinobacteria	1	4.524466
ref2541758829	2541047081	Finished	Bacteria	Actinobacteria	7	6.841649
ref2541766204	2541047083	Finished	Bacteria	Firmicutes	4	2.1421
ref2541788401	2541047088	Permanent Draft	Bacteria	Firmicutes	1	4.400934
ref2541804398	2541047092	Permanent Draft	Bacteria	Actinobacteria	1	2.357424
ref2541813907	2541047095	Permanent Draft	Bacteria	Actinobacteria	1	1.945857
ref2541831604	2541047099	Permanent Draft	Bacteria	Proteobacteria	2	6.087908
ref2541837796	2541047100	Permanent Draft	Bacteria	Proteobacteria	1	6.908137
ref2541842854	2541047101	Permanent Draft	Bacteria	Proteobacteria	1	6.415949
ref2541935686	2541047123	Permanent Draft	Bacteria	Proteobacteria	7	5.504334
ref2541936929	2541047124	Permanent Draft	Bacteria	Proteobacteria	5	5.247604
ref2541965865	2541047129	Permanent Draft	Bacteria	Cyanobacteria	2	4.849611
ref2541996654	2541047149	Permanent Draft	Bacteria	Chlamydiae	1	1.189332
ref2542000539	2541047151	Permanent Draft	Bacteria	Tenericutes	1	1.098846
ref2542001656	2541047152	Permanent Draft	Bacteria	Proteobacteria	2	1.679871
ref2542003462	2541047153	Permanent Draft	Bacteria	Spirochaetes	1	4.395904
ref2542007391	2541047154	Permanent Draft	Bacteria	Spirochaetes	1	4.418431
ref2542011366	2541047155	Permanent Draft	Bacteria	Spirochaetes	1	4.223825
ref2542034736	2541047160	Permanent Draft	Bacteria	Proteobacteria	2	4.718298
ref2542038972	2541047161	Permanent Draft	Bacteria	Proteobacteria	1	3.998432
ref2542047299	2541047163	Permanent Draft	Bacteria	Proteobacteria	2	5.266004
ref2542059051	2541047165	Permanent Draft	Bacteria	Proteobacteria	10	5.519566
ref2542059389	2541047166	Permanent Draft	Bacteria	Proteobacteria	1	5.221118
ref2542075497	2541047168	Permanent Draft	Bacteria	Proteobacteria	8	5.525129
ref2542081391	2541047170	Permanent Draft	Bacteria	Proteobacteria	3	5.256253
ref2542091429	2541047171	Permanent Draft	Bacteria	Proteobacteria	6	5.247655
ref2542113744	2541047176	Permanent Draft	Bacteria	Proteobacteria	5	2.202529
ref2542115945	2541047177	Permanent Draft	Bacteria	Proteobacteria	4	2.210371
ref2542129345	2541047183	Permanent Draft	Bacteria	Proteobacteria	4	2.135927
ref2542130991	2541047184	Permanent Draft	Bacteria	Proteobacteria	6	2.21215
ref2542135433	2541047186	Permanent Draft	Bacteria	Proteobacteria	6	2.211634
ref2542152858	2541047194	Permanent Draft	Bacteria	Proteobacteria	5	2.147305
ref2542178631	2541047206	Permanent Draft	Bacteria	Proteobacteria	5	2.123666
ref2542187526	2541047210	Permanent Draft	Bacteria	Proteobacteria	7	2.179614
ref2542193560	2541047213	Permanent Draft	Bacteria	Proteobacteria	3	2.289228
ref2542206697	2541047219	Permanent Draft	Bacteria	Proteobacteria	5	2.251449
ref2542212977	2541047221	Permanent Draft	Bacteria	Proteobacteria	1	2.138197
ref2542215551	2541047223	Permanent Draft	Bacteria	Proteobacteria	6	2.193678
ref2542218917	2541047224	Permanent Draft	Bacteria	Proteobacteria	4	2.134117
ref2542221108	2541047225	Permanent Draft	Bacteria	Proteobacteria	7	2.228093
ref2542227837	2541047228	Permanent Draft	Bacteria	Proteobacteria	1	2.116143
ref2542229966	2541047229	Permanent Draft	Bacteria	Proteobacteria	4	2.209202
ref2542232596	2541047231	Permanent Draft	Bacteria	Proteobacteria	7	2.251482
ref2542236928	2541047233	Permanent Draft	Bacteria	Proteobacteria	5	2.188007
ref2542238833	2541047234	Permanent Draft	Bacteria	Proteobacteria	4	2.198865
ref2542256093	2541047242	Permanent Draft	Bacteria	Proteobacteria	4	2.185668
ref2542262712	2541047245	Permanent Draft	Bacteria	Proteobacteria	3	2.127915
ref2542268354	2541047247	Permanent Draft	Bacteria	Proteobacteria	6	2.187165
ref2542275015	2541047251	Permanent Draft	Bacteria	Proteobacteria	6	2.120848
ref2542375212	2541047278	Permanent Draft	Bacteria	Firmicutes	1	4.061463
ref2542543296	2541047321	Permanent Draft	Bacteria	Firmicutes	8	4.095212
ref2542581464	2541047331	Permanent Draft	Bacteria	Firmicutes	9	4.164211
ref2542605388	2541047337	Permanent Draft	Bacteria	Firmicutes	9	4.260363
ref2542613250	2541047339	Permanent Draft	Bacteria	Firmicutes	7	4.128273
ref2542624580	2541047341	Permanent Draft	Bacteria	Firmicutes	6	4.159007
ref2542632816	2541047344	Permanent Draft	Bacteria	Firmicutes	10	4.073824
ref2542667164	2541047353	Permanent Draft	Bacteria	Firmicutes	8	4.14993
ref2542682322	2541047357	Permanent Draft	Bacteria	Firmicutes	4	4.35875
ref2542835497	2541047396	Permanent Draft	Bacteria	Firmicutes	9	4.281889
ref2542933445	2541047421	Permanent Draft	Bacteria	Firmicutes	6	4.16136
ref2542957408	2541047426	Permanent Draft	Bacteria	Proteobacteria	10	5.493719
ref2542967679	2541047428	Permanent Draft	Bacteria	Proteobacteria	2	5.233428
ref2542979429	2541047430	Permanent Draft	Bacteria	Proteobacteria	8	5.560038
ref2542984761	2541047431	Permanent Draft	Bacteria	Proteobacteria	7	5.521156
ref2542995958	2541047433	Permanent Draft	Bacteria	Proteobacteria	5	5.278042
ref2543012620	2541047436	Permanent Draft	Bacteria	Proteobacteria	3	5.241282
ref2543028638	2541047439	Permanent Draft	Bacteria	Proteobacteria	5	5.233535
ref2543034143	2541047440	Permanent Draft	Bacteria	Proteobacteria	4	5.243626
ref2543044935	2541047442	Permanent Draft	Bacteria	Proteobacteria	5	5.241649
ref2543050197	2541047443	Permanent Draft	Bacteria	Proteobacteria	3	5.209386
ref2543066654	2541047448	Permanent Draft	Bacteria	Firmicutes	5	2.561372
ref2543070392	2541047449	Permanent Draft	Bacteria	Firmicutes	5	4.6205
ref2543076535	2541047451	Permanent Draft	Bacteria	Actinobacteria	4	3.599272
ref2543079281	2541047453	Permanent Draft	Bacteria	Proteobacteria	6	2.162216
ref2543094836	2541047460	Permanent Draft	Bacteria	Proteobacteria	5	2.196879
ref2543136776	2541047471	Permanent Draft	Bacteria	Proteobacteria	1	4.729571
ref2543161124	2541047476	Permanent Draft	Bacteria	Proteobacteria	1	3.450786
ref2543275662	2541047507	Permanent Draft	Bacteria	Firmicutes	1	1.730812
ref2543284282	2541047509	Permanent Draft	Bacteria	Firmicutes	1	2.671589
ref2543284665	2541047510	Permanent Draft	Bacteria	Firmicutes	5	4.108685
ref2543310821	2541047516	Permanent Draft	Bacteria	Firmicutes	4	2.355989
ref2543311553	2541047517	Permanent Draft	Bacteria	Firmicutes	5	3.476617
ref2543315106	2541047518	Permanent Draft	Bacteria	Firmicutes	8	3.609653
ref2543326108	2541047521	Permanent Draft	Bacteria	Actinobacteria	1	4.798157
ref2543331654	2541047522	Permanent Draft	Bacteria	Firmicutes	1	2.106293
ref2543338549	2541047525	Permanent Draft	Bacteria	Firmicutes	2	2.113105
ref2543348543	2541047529	Permanent Draft	Bacteria	Firmicutes	1	1.875248
ref2543355457	2541047531	Permanent Draft	Bacteria	Firmicutes	1	2.058881
ref2543384997	2541047537	Permanent Draft	Bacteria	Proteobacteria	14	5.360869
ref2543401923	2541047543	Permanent Draft	Bacteria	Proteobacteria	13	6.084135
ref2543451860	2541047557	Permanent Draft	Bacteria	Spirochaetes	3	4.437303
ref2543485594	2541047576	Permanent Draft	Bacteria	Firmicutes	1	2.789347
ref2543491235	2541047578	Permanent Draft	Bacteria	Firmicutes	1	3.652198
ref2543521006	2541047587	Permanent Draft	Bacteria	Firmicutes	1	3.051045
ref2543525277	2541047588	Permanent Draft	Bacteria	Firmicutes	1	2.791112
ref2543543349	2541047592	Permanent Draft	Bacteria	Proteobacteria	5	4.889048
ref2543550110	2541047594	Permanent Draft	Bacteria	Firmicutes	1	2.030978
ref2543562074	2541047597	Permanent Draft	Bacteria	Proteobacteria	1	2.123239
ref2543708894	2541047629	Permanent Draft	Bacteria	Proteobacteria	4	4.693532
ref2543946193	2541047680	Permanent Draft	Bacteria	Proteobacteria	5	5.334703
ref2544001417	2541047691	Permanent Draft	Bacteria	Proteobacteria	7	5.407372
ref2544005968	2541047692	Permanent Draft	Bacteria	Proteobacteria	3	5.130009
ref2544016486	2541047695	Permanent Draft	Bacteria	Proteobacteria	2	5.307568
ref2544125195	2541047716	Permanent Draft	Bacteria	Proteobacteria	6	5.127193
ref2544140431	2541047719	Permanent Draft	Bacteria	Proteobacteria	7	5.251439
ref2544149960	2541047721	Permanent Draft	Bacteria	Proteobacteria	7	5.209638
ref2544180906	2541047728	Permanent Draft	Bacteria	Proteobacteria	6	5.521207
ref2544223301	2541047736	Permanent Draft	Bacteria	Proteobacteria	6	5.264605
ref2544311260	2541047753	Permanent Draft	Bacteria	Proteobacteria	6	4.906395
ref2544326256	2541047756	Permanent Draft	Bacteria	Proteobacteria	6	5.236757
ref2544331809	2541047757	Permanent Draft	Bacteria	Proteobacteria	1	5.127174
ref2544361319	2541047763	Permanent Draft	Bacteria	Proteobacteria	7	5.03402
ref2544371349	2541047765	Permanent Draft	Bacteria	Proteobacteria	6	5.229122
ref2544375129	2541047766	Permanent Draft	Bacteria	Proteobacteria	7	5.201275
ref2544397154	2541047771	Permanent Draft	Bacteria	Proteobacteria	3	5.006892
ref2544426262	2541047776	Permanent Draft	Bacteria	Proteobacteria	8	5.218657
ref2544476079	2541047786	Permanent Draft	Bacteria	Proteobacteria	2	5.150742
ref2544507225	2541047793	Permanent Draft	Bacteria	Proteobacteria	3	5.165599
ref2544535688	2541047798	Permanent Draft	Bacteria	Proteobacteria	5	5.427177
ref2544591133	2541047809	Permanent Draft	Bacteria	Proteobacteria	5	5.253263
ref2544620733	2541047815	Permanent Draft	Bacteria	Proteobacteria	7	4.688464
ref2544622329	2541047816	Permanent Draft	Bacteria	Proteobacteria	4	5.159546
ref2544630110	2541047817	Permanent Draft	Bacteria	Proteobacteria	8	4.998133
ref2544695507	2541047830	Permanent Draft	Bacteria	Proteobacteria	6	5.300441
ref2544734388	2541047838	Permanent Draft	Bacteria	Proteobacteria	6	5.170734
ref2544755091	2541047842	Permanent Draft	Bacteria	Proteobacteria	7	5.301471
ref2544882717	2541047868	Permanent Draft	Bacteria	Proteobacteria	3	5.063952
ref2544988820	2541047890	Permanent Draft	Bacteria	Proteobacteria	4	5.10859
ref2545008773	2541047894	Permanent Draft	Bacteria	Proteobacteria	6	5.115371
ref2545047947	2541047902	Permanent Draft	Bacteria	Proteobacteria	5	5.070154
ref2545106786	2541047914	Permanent Draft	Bacteria	Proteobacteria	3	5.233354
ref2545136743	2541047920	Permanent Draft	Bacteria	Proteobacteria	6	5.010331
ref2545186214	2541047930	Permanent Draft	Bacteria	Proteobacteria	7	5.184094
ref2545225934	2541047938	Permanent Draft	Bacteria	Proteobacteria	3	4.958338
ref2545260628	2541047945	Permanent Draft	Bacteria	Proteobacteria	8	5.171866
ref2545273126	2541047948	Permanent Draft	Bacteria	Proteobacteria	2	5.276892
ref2545303396	2541047954	Permanent Draft	Bacteria	Proteobacteria	4	5.111341
ref2545381568	2541047970	Permanent Draft	Bacteria	Proteobacteria	2	4.04627
ref2545494744	2541047992	Permanent Draft	Bacteria	Bacteroidetes	1	4.687695
ref2545505621	2541047995	Permanent Draft	Bacteria	Firmicutes	1	3.115193
ref2545512853	2541047997	Permanent Draft	Bacteria	Firmicutes	4	2.408477
ref2545516116	2541047998	Permanent Draft	Bacteria	Firmicutes	2	2.542704
ref2545517051	2541047999	Permanent Draft	Bacteria	Firmicutes	7	4.179913
ref2545523963	2541048001	Permanent Draft	Bacteria	Actinobacteria	1	2.084752
ref2545532898	2541048004	Permanent Draft	Bacteria	Bacteroidetes	1	3.561574
ref2545547910	2541048008	Permanent Draft	Bacteria	Proteobacteria	4	4.684957
ref2545554562	2541048009	Permanent Draft	Bacteria	Firmicutes	2	6.70978
ref2545576000	2545555807	Permanent Draft	Bacteria	Bacteroidetes	1	1.575473
ref2545647154	2545555826	Permanent Draft	Bacteria	Firmicutes	5	3.724077
ref2545651149	2545555827	Permanent Draft	Bacteria	Firmicutes	9	3.957021
ref2545660815	2545555829	Permanent Draft	Bacteria	Proteobacteria	3	4.921245
ref2545670417	2545555831	Permanent Draft	Bacteria	Tenericutes	1	0.843889
ref2545679118	2545555834	Permanent Draft	Bacteria	Proteobacteria	6	8.130841
ref2545718360	2545555844	Draft	Bacteria	Proteobacteria	1	3.606483
ref2545734860	2545555854	Permanent Draft	Bacteria	Bacteroidetes	2	3.266753
ref2545746212	2545555856	Permanent Draft	Bacteria	Proteobacteria	1	6.74824
ref2545760080	2545555860	Permanent Draft	Bacteria	Spirochaetes	1	3.420763
ref2545762589	2545555861	Permanent Draft	Bacteria	Proteobacteria	2	1.765051
ref2545763795	2545555862	Permanent Draft	Bacteria	Proteobacteria	4	1.787929
ref2545768436	2545555864	Permanent Draft	Bacteria	Actinobacteria	1	4.936071
ref2545774683	2545555865	Permanent Draft	Bacteria	Proteobacteria	4	1.96397
ref2545775266	2545555866	Permanent Draft	Bacteria	Spirochaetes	1	1.575698
ref2545782953	2545555868	Permanent Draft	Bacteria	Firmicutes	4	4.089922
ref2545786935	2545555870	Draft	Bacteria	Firmicutes	7	3.418856
ref2545813884	2545555877	Permanent Draft	Bacteria	Proteobacteria	2	4.976687
ref2545823093	2545555880	Finished	Bacteria	Proteobacteria	2	2.163236
ref2545824000	2534682370	Permanent Draft	Bacteria	Tenericutes	4	0.930509
ref2545824001	2518645623	Permanent Draft	Bacteria	Actinobacteria	1	6.169406
ref2545824002	2515154155	Permanent Draft	Bacteria	Actinobacteria	2	7.985436
ref2545824003	2517572120	Permanent Draft	Bacteria	Bacteroidetes	3	3.621509
ref2545824004	2517093002	Permanent Draft	Bacteria	Bacteroidetes	1	2.636668
ref2545824005	2518285616	Permanent Draft	Bacteria	Proteobacteria	2	2.509395
ref2545824006	2515154026	Permanent Draft	Bacteria	Bacteroidetes	4	4.772389
ref2545824007	2523533548	Permanent Draft	Bacteria	Bacteroidetes	2	4.444801
ref2545824008	2513237121	Permanent Draft	Bacteria	Actinobacteria	1	2.9194
ref2545824009	2515154092	Permanent Draft	Bacteria	Firmicutes	6	2.823245
ref2545824010	2515154083	Permanent Draft	Bacteria	Bacteroidetes	3	5.447112
ref2545824011	2519103183	Permanent Draft	Bacteria	Bacteroidetes	2	4.49503
ref2545824012	2519899672	Permanent Draft	Bacteria	Actinobacteria	4	4.226979
ref2545824013	2519103189	Permanent Draft	Bacteria	Firmicutes	7	4.411374
ref2545824014	2517572236	Permanent Draft	Bacteria	Proteobacteria	3	4.06052
ref2545824015	2524614679	Permanent Draft	Archaea	Euryarchaeota	3	3.593334
ref2545824016	2513237114	Permanent Draft	Bacteria	Proteobacteria	3	2.459805
ref2545824017	2517434011	Permanent Draft	Bacteria	Proteobacteria	2	3.187878
ref2545824018	2513237112	Permanent Draft	Bacteria	Proteobacteria	2	6.113501
ref2545824019	2515154027	Permanent Draft	Bacteria	Bacteroidetes	5	5.055457
ref2545824020	2523533560	Permanent Draft	Bacteria	Proteobacteria	2	5.023044
ref2545824021	2524614874	Permanent Draft	Bacteria	Proteobacteria	4	3.025373
ref2545824022	2523533534	Permanent Draft	Bacteria	Proteobacteria	2	4.660374
ref2545824023	2523533547	Permanent Draft	Bacteria	Proteobacteria	2	4.958587
ref2545824024	2524614671	Permanent Draft	Bacteria	Proteobacteria	2	6.029378
ref2545824025	2523533561	Permanent Draft	Bacteria	Proteobacteria	2	5.416882
ref2545824026	2521172647	Permanent Draft	Bacteria	Proteobacteria	2	3.757616
ref2545824027	2523533545	Permanent Draft	Bacteria	Proteobacteria	1	5.703346
ref2545824028	2526164518	Permanent Draft	Bacteria	Spirochaetes	4	3.951904
ref2545824029	2515154013	Permanent Draft	Bacteria	Firmicutes	7	1.866132
ref2545834776	2545824503	Permanent Draft	Bacteria	Acidobacteria	1	3.795097
ref2545864860	2545824511	Permanent Draft	Bacteria	candidate division TM6	1	1.074689
ref2545872778	2545824514	Permanent Draft	Bacteria	Tenericutes	1	0.864731
ref2545872817	2545824515	Permanent Draft	Bacteria	Firmicutes	5	2.136837
ref2545878459	2545824516	Permanent Draft	Bacteria	Proteobacteria	7	4.811743
ref2545926905	2545824529	Permanent Draft	Bacteria	Spirochaetes	1	3.914343
ref2545931341	2545824530	Permanent Draft	Bacteria	Spirochaetes	1	4.813972
ref2545972776	2545824538	Permanent Draft	Bacteria	Actinobacteria	3	8.787999
ref2545981107	2545824539	Permanent Draft	Bacteria	Bacteroidetes	2	3.491785
ref2545984270	2545824540	Permanent Draft	Bacteria	Bacteroidetes	2	3.343709
ref2545987504	2545824541	Permanent Draft	Bacteria	Bacteroidetes	2	3.467617
ref2545988303	2545824542	Permanent Draft	Bacteria	Tenericutes	2	1.453539
ref2545992959	2545824543	Permanent Draft	Bacteria	Proteobacteria	1	4.108307
ref2546039261	2545824552	Draft	Bacteria	Proteobacteria	1	5.318565
ref2546097622	2545824564	Permanent Draft	Bacteria	Actinobacteria	1	4.495232
ref2546128430	2545824570	Draft	Bacteria	unclassified	1	0.705138
ref2546146201	2545824614	Permanent Draft	Bacteria	Tenericutes	1	0.84775
ref2546148152	2545824615	Permanent Draft	Bacteria	Proteobacteria	2	2.198488
ref2546177385	2545824622	Finished	Bacteria	Actinobacteria	4	2.291643
ref2546184130	2545824624	Finished	Bacteria	Actinobacteria	2	4.830181
ref2546191774	2545824626	Finished	Bacteria	Actinobacteria	1	4.404786
ref2546196753	2545824627	Finished	Bacteria	Proteobacteria	5	4.397537
ref2546199960	2545824628	Permanent Draft	Bacteria	Firmicutes	3	2.076431
ref2546201746	2545824629	Finished	Bacteria	Actinobacteria	1	4.392876
ref2546220328	2545824635	Finished	Bacteria	Proteobacteria	2	1.65873
ref2546222109	2545824636	Finished	Bacteria	Proteobacteria	2	1.694406
ref2546233354	2545824639	Finished	Bacteria	Firmicutes	4	2.038146
ref2546235017	2545824640	Finished	Bacteria	Proteobacteria	6	5.413691
ref2546255210	2545824643	Permanent Draft	Bacteria	Proteobacteria	3	7.083871
ref2546260292	2545824644	Permanent Draft	Bacteria	Proteobacteria	6	4.866777
ref2546261932	2545824645	Permanent Draft	Bacteria	Proteobacteria	1	3.653464
ref2546270842	2545824647	Permanent Draft	Bacteria	Firmicutes	6	4.626548
ref2546291760	2545824654	Permanent Draft	Bacteria	Firmicutes	6	2.887416
ref2546294342	2545824655	Permanent Draft	Bacteria	Firmicutes	6	3.170474
ref2546303421	2545824658	Permanent Draft	Bacteria	Firmicutes	5	2.572706
ref2546308118	2545824659	Permanent Draft	Bacteria	Firmicutes	3	3.910972
ref2546314709	2545824662	Permanent Draft	Bacteria	Firmicutes	4	3.578766
